NPRI Number	Facility Name	Company Name	Province	City	Address	Postal Code	Rural Address	NAICS Name	NAICS Data Link	2011 Hg Emissions (kg)	2011 Cr(VI) Emissions (kg)	NPRI Data Link 	NAICS2	NAICS3	NAICS4	Latitude	Longitude
0000002161	Hamilton Specialty Bar	Hamilton Specialty Bar Corporation	Ontario	Hamilton	319 Sherman Avenue North	L8N3R5	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	10.76	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002161&amp;amp;amp;opt_report_year=2011	33	331	3311	43.26190000	-79.83560000
0000001070	Essar Steel Algoma Inc	Essar Steel Algoma Inc.	Ontario	Sault Ste. Marie	105 West Street North	P6A7B4	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	29.96	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001070&amp;amp;amp;opt_report_year=2011	33	331	3311	46.52080000	-84.36970000
0000001520	Ivaco Rolling Mills	Ivaco Rolling Mills 2004 Limited Partnership	Ontario	L'Orignal	1040 County Rd 17 Road	K0B1K0	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	23.09	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001520&amp;amp;amp;opt_report_year=2011	33	331	3311	45.61330000	-74.70500000
0000002984	Hamilton Works		Ontario	Hamilton	386 Wilcox Street	L8N3T1	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	15.18	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002984&amp;amp;amp;opt_report_year=2011	33	331	3311	43.26220000	-79.78670000
0000003713	Dofasco Hamilton	Arcelormittal Dofasco Inc.	Ontario	Hamilton	1330 Burlington Street East	L8N3J5	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	91.52	10.87	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003713&amp;amp;amp;opt_report_year=2011	33	331	3311	43.25970000	-79.81110000
0000004169	Gerdau Ameristeel Corporation, Cambridge Mill		Ontario	Cambridge	160 Orion Place	N1T1R9	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	11.52	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000004169&amp;amp;amp;opt_report_year=2011	33	331	3311	43.37120000	-80.27910000
0000003824	Gerdau Ameristeel Corporation, Whitby Mill		Ontario	Whitby	1801 Hopkins Street South	L1N5T1	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	46.31	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003824&amp;amp;amp;opt_report_year=2011	33	331	3311	43.85780000	-78.90970000
0000003855	Lake Erie Works	U.S. Steel Canada Inc.	Ontario	Haldimand County	2330 Regional #3 Road	N0A1L0	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	17.49	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003855&amp;amp;amp;opt_report_year=2011	33	331	3311	42.81000000	-80.09670000
0000002815	Kidd Metallurgical Site	Xstrata Canada Corporation - Duplicate	Ontario	Timmins/District of Cochrane	10050 Highway 101 East Highway East	P4N7K1	0	Non-Ferrous (except Al) Smelting & Refining	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331410	0.08	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002815&amp;amp;amp;opt_report_year=2011	33	331	3314	48.54930000	-81.07800000
0000001236	Sudbury Nickel Smelter Complex	Xstrata Canada Corporation	Ontario	Falconbridge	1 Longyear Drive	P0M1S0	0	Non-Ferrous (except Al) Smelting & Refining	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331410	7.47	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001236&amp;amp;amp;opt_report_year=2011	33	331	3314	46.57750000	-80.80420000
0000005615	Belleville	The Procter & Gamble Company	Ontario	Belleville	355 University Avenue	K8N5E9	0	All Other Miscellaneous Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=339990	0.02	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005615&amp;amp;amp;opt_report_year=2011	33	339	3399	44.19880000	-77.36360000
0000003147	Chalk River Laboratories	Atomic Energy of Canada Limited	Ontario	Chalk River	1 Plant Road	K0J1J0	0	"All Other Prof., Scientific & Tech. Services"	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=541990	0.15	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000003147&amp;amp;amp;opt_report_year=2011	54	541	5419	46.05540000	-77.36280000
0000002537	Clean Harbors Canada, Inc	Clean Harbors Canada, Inc.	Ontario	Corunna	4090 Telfer Road North	N0N1G0	0	Waste Treatment & Disposal	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210	0.80	0.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002537&amp;amp;amp;opt_report_year=2011	56	562	5622	42.88040000	-82.29710000
0000004768	Algonquin Power Energy From Waste Inc.	Algonquin Power Energy From Waste Inc.	Ontario	Brampton	7656 Bramalea Road	L6T5M5	0	Waste Treatment & Disposal	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210	1.50	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000004768&amp;amp;amp;opt_report_year=2011	56	562	5622	43.69700000	-79.68260000
0000011033	Fluorescent Lamp Recyclers	Aevitas Inc .	Ontario	Ayr	75 Wanless Court	N0B1E0	0	All Other Waste Management Services	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562990	0.58	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000011033&amp;amp;amp;opt_report_year=2011	56	562	5629	43.33670000	-80.44800000
0000005015	Energy From Waste Plant	PEI Energy Systems	Prince Edward Island	Charlottetown	40 Riverside Drive	C1A9M2	0	Waste Treatment & Disposal	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210	3.61	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000005015&amp;amp;amp;opt_report_year=2011	56	562	5622	46.25170000	-63.10787000
0000002000	Usine de Bouletage de Port-Cartier	ArcelorMittal Mines Canada	Quebec	Port-Cartier	186 Portage des Mousses	G5B2H3	0	Iron Ore Mining	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=212210	44.00	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002000&amp;amp;amp;opt_report_year=2011	21	212	2122	50.03340000	-66.79100000
