Station Number	Province	City	Address	Location Type	2011 Average Fine Particulate Matter (µg/m3)	2011 Peak Fine Particulate Matter (µg/m3)	2011 Average Ozone (ppb)	2011 Peak Ozone (ppb)	2011 Sulphur Dioxide (ppb)	2011 Nitrogen Dioxide (ppb)	2011 Volatile Organic Compounds (ppbC)	Latitude	Longitude
70118.00000000	Manitoba	Winnipeg	299 Scotia St.	Urban Residential	7.20	17.63	35.29	55.13	-99.00	7.72	-99.00	49.93000000	-97.11000000
70119.00000000	Manitoba	Winnipeg	65 Ellen Street	Urban Commercial	-99.00	-99.00	31.67	51.00	0.24	11.63	44.36	49.90000000	-97.15000000
70203.00000000	Manitoba	Brandon	1430 Victoria Avenue East	Urban Residential	-99.00	-99.00	34.44	53.75	-99.00	-99.00	-99.00	49.84000000	-99.92000000
70301.00000000	Manitoba	Flin Flon	143 Main Street	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	54.77000000	-101.88000000
70501.00000000	Manitoba	Thompson	Thompson	Urban Commercial	3.14	11.00	-99.00	-99.00	2.51	-99.00	-99.00	55.75000000	-97.87000000
40103.00000000	New Brunswick	Fredericton	437 Aberdeen Street	Urban Commercial	5.21	16.58	31.10	48.63	-99.00	3.37	-99.00	45.96000000	-66.65000000
40203.00000000	New Brunswick	Saint John	Mountain Road	Urban Residential	8.62	32.33	31.73	51.63	0.89	4.05	61.86	45.31000000	-66.01000000
40206.00000000	New Brunswick	Saint John	189 Prince William	Urban Commercial	-99.00	-99.00	-99.00	54.29	-99.00	-99.00	-99.00	45.27000000	-66.06000000
40207.00000000	New Brunswick	Saint John	476 Lancaster Avenue W.	Urban Residential	6.04	15.71	31.30	48.63	0.72	-99.00	-99.00	45.25000000	-66.08000000
40208.00000000	New Brunswick	Saint John	111 Champlain Drive	Urban Residential	6.67	16.38	-99.00	-99.00	1.36	1.71	213.74	45.29000000	-66.00000000
40209.00000000	New Brunswick	Saint John	8 Castle Street	Urban Commercial	5.30	16.46	-99.00	-99.00	-99.00	-99.00	-99.00	45.28000000	-66.06000000
40302.00000000	New Brunswick	Moncton	5 Thanet Street	Urban Residential	5.10	14.17	29.62	50.00	-99.00	5.83	-99.00	46.10000000	-64.79000000
40401.00000000	New Brunswick	Fundy Nat. Park	Hastings Tower	Rural Undeveloped	-99.00	-99.00	35.56	53.13	-99.00	-99.00	-99.00	45.59000000	-64.99000000
40501.00000000	New Brunswick	Point Lepreau	Recreation Area	Rural Undeveloped	-99.00	-99.00	35.93	56.50	-99.00	-99.00	11.94	45.07000000	-66.45000000
40601.00000000	New Brunswick	Central Blissville	Airport Road	Rural Undeveloped	-99.00	-99.00	29.46	45.63	-99.00	-99.00	-99.00	45.60000000	-66.56000000
40701.00000000	New Brunswick	Norton	308 Hwy 124	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	45.64000000	-65.70000000
40801.00000000	New Brunswick	Dow Settlement	487 Route 122	Rural Undeveloped	-99.00	-99.00	31.61	51.88	-99.00	-99.00	-99.00	45.95000000	-67.48000000
40901.00000000	New Brunswick	St. Andrews	Brandy Cove Road	Rural Undeveloped	4.99	15.54	32.11	49.88	-99.00	-99.00	-99.00	45.08000000	-67.07000000
41001.00000000	New Brunswick	Campobello Island	Campobello Island	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	44.87000000	-66.96000000
41101.00000000	New Brunswick	St. Leonard	312 Ch l'Aeroport	Rural Undeveloped	-99.00	-99.00	32.95	52.38	-99.00	-99.00	-99.00	47.16000000	-67.83000000
41201.00000000	New Brunswick	Lower Newcastle	55 Route 11 Hwy	Rural Undeveloped	-99.00	-99.00	32.76	52.25	-99.00	-99.00	-99.00	47.07000000	-65.42000000
41301.00000000	New Brunswick	Bathurst	430 St. Peters Avenue	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	47.63000000	-65.66000000
41302.00000000	New Brunswick	Bathurst	1255 Rough Waters Drive	Urban Residential	8.56	18.79	32.42	50.00	-99.00	-99.00	-99.00	47.61000000	-65.63000000
10102.00000000	Newfoundland and Labrador	St. John's	354 Water Street	Urban Commercial	6.57	11.96	30.93	47.00	0.75	6.19	39.78	47.56000000	-52.71000000
10301.00000000	Newfoundland and Labrador	Corner Brook	Brook Street	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	48.95000000	-57.95000000
10401.00000000	Newfoundland and Labrador	Mount Pearl	Old Placentia Road	Urban Residential	5.10	11.00	31.65	51.25	0.37	1.72	-99.00	47.51000000	-52.79000000
10501.00000000	Newfoundland and Labrador	Grand Falls - \Windsor	Scott Avenue	Urban Commercial	-99.00	-99.00	33.65	48.13	0.32	1.02	-99.00	48.93000000	-55.66000000
10601.00000000	Newfoundland and Labrador	Happy Valley - Goose Bay	Abbot Street	Urban Residential	-99.00	-99.00	33.29	51.13	-99.00	-99.00	-99.00	53.31000000	-60.37000000
10602.00000000	Newfoundland and Labrador	Corner Brook	Macpherson Avenue	Urban Commercial	6.14	13.88	33.36	49.86	-99.00	2.66	-99.00	48.95000000	-57.92000000
10701.00000000	Newfoundland and Labrador	Ferrole Point	Ferrole Point Lighthouse	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	51.02000000	-57.10000000
129002.00000000	Northwest Territories	Yellowknife	4807 52nd Street	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	62.45000000	-114.38000000
129003.00000000	Northwest Territories	Yellowknife	52nd Ave & 49t Street	Urban Commercial	-99.00	-99.00	29.18	48.00	0.16	3.09	-99.00	62.45000000	-114.36000000
129102.00000000	Northwest Territories	Norman Wells	                                                            	Urban Industrial	-99.00	-99.00	28.80	51.29	0.33	1.48	-99.00	65.28000000	-126.81000000
129103.00000000	Northwest Territories	Fort Liard	Airport	Urban Industrial	-99.00	-99.00	-99.00	-99.00	0.28	-99.00	-99.00	60.24000000	-123.47000000
129202.00000000	Northwest Territories	Inuvik	Kingmingya Rd / Block 17	Urban Residential	-99.00	-99.00	27.36	44.75	0.84	2.39	-99.00	68.36000000	-133.73000000
129501.00000000	Northwest Territories	Snare Rapids	Snare Rapids	Rural Undeveloped	-99.00	-99.00	32.49	53.63	-99.00	-99.00	-99.00	63.51000000	-116.01000000
129401.00000000	Nunavut	Alert	Alert	Rural Undeveloped	-99.00	-99.00	32.95	47.63	-99.00	-99.00	10.19	82.45000000	-62.34000000
60101.00000000	Ontario	Ottawa	88 Slater St.	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	45.42000000	-75.69000000
60104.00000000	Ontario	Ottawa	Rideau & Wurtemburg	Urban Commercial	4.85	13.75	32.17	53.75	0.36	7.93	28.47	45.43000000	-75.68000000
60106.00000000	Ontario	Ottawa	960 Carling Ave	Urban Residential	4.48	12.75	33.21	55.38	-99.00	6.63	-99.00	45.38000000	-75.71000000
60203.00000000	Ontario	Windsor	9725 Riverside Dr. East	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	42.34000000	-82.93000000
60204.00000000	Ontario	Windsor	467 University Ave. West	Urban Commercial	7.68	21.42	38.80	80.25	3.54	14.45	-99.00	42.32000000	-83.04000000
60211.00000000	Ontario	Windsor	College & South St.	Urban Residential	7.78	22.17	38.38	80.88	3.36	12.92	-99.00	42.29000000	-83.07000000
60212.00000000	Ontario	Windsor	Wright & Water St.	Urban Industrial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	42.28000000	-83.10000000
60302.00000000	Ontario	Kingston	133 Dalton Avenue	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	44.23000000	-76.51000000
60303.00000000	Ontario	Kingston	752 King St. West	Urban Residential	6.90	22.75	37.99	69.00	-99.00	4.62	-99.00	44.22000000	-76.53000000
60403.00000000	Ontario	Toronto	Evans & Arnold Ave.	Urban Industrial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	43.62000000	-79.52000000
60410.00000000	Ontario	Toronto	Lawrence & Kennedy	Urban Residential	6.15	18.67	33.18	63.88	-99.00	15.21	-99.00	43.75000000	-79.27000000
60413.00000000	Ontario	Toronto	Elmcrest Road	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	43.65000000	-79.59000000
60415.00000000	Ontario	Mississaugua	Queensway W & Hurontario	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	43.57000000	-79.61000000
60418.00000000	Ontario	Toronto	Ruskin & Perth St.	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	43.66000000	-79.45000000
60421.00000000	Ontario	Toronto	Yonge St. & Finch Ave.	Urban Commercial	7.72	23.63	32.85	65.13	-99.00	15.40	-99.00	43.78000000	-79.42000000
60423.00000000	Ontario	Toronto	Clearview Heights	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	43.70000000	-79.48000000
