Station Number	Province	City	Address	Location Type	2011 Average Fine Particulate Matter (µg/m3)	2011 Peak Fine Particulate Matter (µg/m3)	2011 Average Ozone (ppb)	2011 Peak Ozone (ppb)	2011 Sulphur Dioxide (ppb)	2011 Nitrogen Dioxide (ppb)	2011 Volatile Organic Compounds (ppbC)	Latitude	Longitude
50103.00000000	Quebec	Montréal	1050 A, Boul. Saint-Jean-Baptiste	Urban Residential	10.01	26.82	30.94	60.13	2.04	10.11	80.11	45.64000000	-73.50000000
50104.00000000	Quebec	Montréal	1125 Rue Ontario Est	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	45.52000000	-73.56000000
50105.00000000	Quebec	Montréal	1212 Rue Drummond	Urban Commercial	13.47	28.79	-99.00	-99.00	-99.00	-99.00	-99.00	45.50000000	-73.57000000
50109.00000000	Quebec	Montréal	2495 Duncan / Décarie, Mt-Royal	Urban Commercial	9.64	26.42	25.56	47.00	-99.00	17.49	-99.00	45.50000000	-73.66000000
50110.00000000	Quebec	Montréal	11280 Boul. Pie IX, Mtl Nord	Urban Commercial	10.14	25.63	29.63	55.86	-99.00	12.18	-99.00	45.59000000	-73.64000000
50113.00000000	Quebec	Laval	1160 Boul Pie X	Urban Residential	12.22	28.29	32.00	59.38	-99.00	9.08	-99.00	45.55000000	-73.75000000
50115.00000000	Quebec	Montréal	1001 Boul de Maisonneuve Ouest	Urban Commercial	-99.00	-99.00	24.63	48.13	1.08	18.94	68.97	45.50000000	-73.58000000
50116.00000000	Quebec	Montréal	3161 Joseph, Verdun	Urban Residential	-99.00	-99.00	28.95	50.25	-99.00	13.30	-99.00	45.47000000	-73.57000000
50119.00000000	Quebec	Longueuil	Face au 1819 Rue Victoria	Urban Residential	9.54	26.42	31.83	57.00	-99.00	9.73	-99.00	45.52000000	-73.49000000
50121.00000000	Quebec	Longueuil	8361 Rue Océanie - Brossard	Urban Residential	10.52	24.58	34.25	61.63	0.69	7.40	33.42	45.44000000	-73.47000000
50123.00000000	Quebec	Montréal	55 Avenue Lilas	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	45.44000000	-73.73000000
50126.00000000	Quebec	Montréal	20965 Ch. Sainte-Marie, Ste-Annedb	Urban Residential	8.07	20.63	31.88	53.88	-99.00	8.03	-99.00	45.43000000	-73.93000000
50128.00000000	Quebec	Montréal	90-A Rue Hervé-Saint-Martin, Dorval	Urban Commercial	8.85	25.96	32.69	57.50	-99.00	10.89	-99.00	45.47000000	-73.74000000
50129.00000000	Quebec	Montréal	12400 Wilfrid-Ouellette	Rural Agricultural	9.75	25.83	30.29	56.88	-99.00	8.03	43.64	45.65000000	-73.57000000
50130.00000000	Quebec	Montréal	711-A Rue Clément, Dorval	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	45.46000000	-73.77000000
50131.00000000	Quebec	Montréal	3250 Ste-Catherine Est	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	45.54000000	-73.54000000
